id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3814983,BEG - 3 bedroom 8008 Zürich-downtown,18715465,1463059615258550802,Joy,Kreis 8,Weinegg,47.36231,8.55827,Entire home/apt,,3,125,2026-06-05,0.87,15,50,32,
3815437,"B1l - 3bedroom, 8008 Zürich downtown",18715465,1463059615258550802,Joy,Kreis 8,Weinegg,47.36231,8.55827,Entire home/apt,,3,77,2026-06-22,0.55,15,45,15,
3857206,Stylish apartment in the centre of Zurich.,19898314,1463094194014389716,Katarína,Kreis 3,Alt-Wiedikon,47.36723,8.51917,Entire home/apt,0,5,15,2023-06-18,0.17,3,363,0,
3872298,beautiful luxury apartment...,20002991,1463096592015426703,Mars,Kreis 9,Altstetten,47.38965,8.49178,Entire home/apt,,14,64,2025-10-01,0.45,1,361,2,
3890636,Stadt Zürich -Studio beim Albisriederplatz 4507,564859566,1698735279012732542,Apartments Zuerich,Kreis 4,Hard,47.37997,8.50702,Entire home/apt,0,1,642,2026-06-21,4.45,15,359,10,
3897121,Priv. room & bathroom Zurich centre,2091621,1462586132474950138,Vlad,Kreis 4,Werd,47.37168,8.52549,Private room,0,1,26,2022-11-13,0.18,1,361,0,
3941358,Trendy Studio at the best area !,13570663,1462586915939629182,Residence Services Apartments,Kreis 8,Mühlebach,47.36365,8.54939,Entire home/apt,,2,153,2026-06-19,1.06,55,331,15,
4201758,"1-Bedroom Apartment, Forchstrasse",17484617,1463011174324430050,Cristiana,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,0,3,8,2024-03-17,0.06,23,171,0,
4201898,"2-Bedroom Family Apartment, Forchstrasse",17484617,1463011174324430050,Cristiana,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,0,3,44,2023-12-15,0.33,23,171,0,
4202724,"Studio Apartment, Lindenstrasse",17484617,1463011174324430050,Cristiana,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,0,1,8,2021-11-14,0.06,23,228,0,
4222657,"2-Bedroom Family Apartment, Lindenstrasse",17484617,1463011174324430050,Cristiana,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,1,2,31,2024-12-25,0.22,23,217,0,
4246456,Mini-Musiker-Zimmer,21714165,1462618309645739256,Katie,Kreis 1,Rathaus,47.37136,8.54351,Private room,1,1,1479,2026-06-27,10.66,4,60,142,
4290893,"1-Bedroom Apartment, Nordstrasse",17484617,1463011174324430050,Cristiana,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,,3,9,2025-10-13,0.07,23,172,3,
4298448,Central to lake and train station,9068489,1462794150251136875,Duygu,Kreis 7,Hottingen,47.37379,8.56275,Private room,0,2,31,2025-07-16,0.23,2,365,2,
4298896,"Central garden flat, 3 bedrooms",9068489,1462794150251136875,Duygu,Kreis 7,Hottingen,47.37474,8.56254,Private room,0,3,2,2024-07-10,0.08,2,269,0,
4315829,Double bed room 2 Top of Zurich,22404783,1462621056668931570,Silvia,Kreis 7,Witikon,47.35655,8.59939,Private room,0,2,99,2026-05-24,0.74,3,263,11,
4368558,Modern spacious apartment,17455976,1463010554323187154,Simon,Kreis 4,Hard,47.38095,8.50514,Entire home/apt,0,100,2,2015-05-23,0.01,1,365,0,
4381761,Style&Large @Hip-Party-Area with HomeCinema.,1926619,1462521212821915956,Stefan,Kreis 4,Langstrasse,47.3767,8.52546,Entire home/apt,0,1,74,2025-08-06,0.66,1,364,1,
4425760,"Spacious, centrally located flat",2963607,1462613609158728533,Sandra,Kreis 6,Unterstrass,47.3901,8.53958,Entire home/apt,0,7,57,2026-01-03,0.41,1,9,6,
4460481,Cozy room & Sunny balcony in Zurich,12051025,1462879065817348303,Churyon,Kreis 9,Altstetten,47.38904,8.48716,Private room,,3,125,2025-06-04,0.97,1,0,0,
4666089,Modern & cosy room in the city center,2598633,1462599823292440638,Antonio,Kreis 5,Gewerbeschule,47.38573,8.52743,Private room,0,1,0,,,1,88,0,
4666318,"Bright and charming, in Zürich",3477312,1462530150374964717,Gisela,Kreis 3,Alt-Wiedikon,47.35997772216797,8.522051811218262,Entire home/apt,0,6,50,2025-09-29,0.37,1,286,4,
4748384,"1 Bedroom Serviced Apartment, Unterstrass",24506494,1465305511219168260,EMA House,Kreis 6,Unterstrass,47.38417,8.54212,Entire home/apt,,3,30,2026-06-16,0.26,19,296,9,
4796892,Musiker-Unterkunft,21714165,1462618309645739256,Katie,Kreis 1,Rathaus,47.3714,8.54349,Private room,1,1,1204,2025-11-08,8.58,4,4,43,
4797373,Wirtewohnung,21714165,1462618309645739256,Katie,Kreis 1,Rathaus,47.3714,8.54349,Entire home/apt,0,1,601,2026-06-23,4.28,4,56,90,
4850468,Cosy 3.5 room apartment in Zurich,720175,1462527256313459198,Patrick,Kreis 11,Seebach,47.42615,8.54844,Entire home/apt,,5,1,2021-10-03,0.02,1,0,0,
4921250,charming flat in excellent location,25347589,1465340621986772684,Patricia,Kreis 6,Unterstrass,47.38637,8.54343,Entire home/apt,,1,95,2026-06-03,0.69,1,45,7,
5000434,fully furnished flat / nearby ETH + Airport + City,7926514,1462563045800319979,Ruben,Kreis 11,Affoltern,47.41972,8.51008,Entire home/apt,0,10,40,2026-06-20,0.30,1,239,1,
5055921,3BR city flat near Bellevue! SF6,23561865,1465274926504678242,Dimiter,Kreis 8,Seefeld,47.36398,8.54873,Entire home/apt,1,1,138,2026-05-10,1.02,145,13,25,
5168505,Double room 1 Top of Zurich,22404783,1462621056668931570,Silvia,Kreis 7,Witikon,47.35687,8.59781,Private room,0,2,201,2026-06-16,1.46,3,275,12,
5208392,"1-Bedroom Apartment, Nordstrasse",17484617,1463011174324430050,Cristiana,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,0,3,8,2025-06-07,0.06,23,258,0,
5209282,Charming studio / old town UZ12,23561865,1465274926504678242,Dimiter,Kreis 1,Rathaus,47.3718,8.54541,Entire home/apt,0,1,235,2026-06-14,1.70,145,19,16,
5210463,"2-Zimmer Apartment Suite, Lindenstrasse",17484617,1463011174324430050,Cristiana,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,0,3,3,2019-09-08,0.03,23,160,0,
5267443,Family apartment in Zurich,3845079,1462640854903213419,Tilke,Kreis 4,Werd,47.37013,8.5263,Entire home/apt,,7,29,2026-04-26,0.22,1,4,3,
5349018,"1-Bedroom Apartment Suite, Kieselgasse",17484617,1463011174324430050,Cristiana,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,,3,1,2016-10-19,0.01,23,190,0,
5350564,"Studio Apartment, Forchstrasse",17484617,1463011174324430050,Cristiana,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,0,2,18,2026-01-01,0.13,23,172,2,
5350881,"Studio Apartment, Forchstrasse",17484617,1463011174324430050,Cristiana,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,0,3,17,2026-01-02,0.13,23,138,1,
5352022,Schöne Wohnung in Zürich,12980091,1462900116179981825,Fabienne,Kreis 10,Höngg,47.40583,8.47929,Entire home/apt,,7,0,,,1,0,0,
5378507,Private room in Oerlikon,18128386,1462604964849578212,Alessandro,Kreis 11,Oerlikon,47.41072,8.54479,Private room,0,7,0,,,1,83,0,
5483148,Living & Homeoffice with absolutely dream views !,13570663,1462586915939629182,Residence Services Apartments,Kreis 1,Rathaus,47.37382,8.54228,Entire home/apt,,2,502,2026-06-19,3.65,55,330,38,
5553853,Charmin Studio / old town UZ9,23561865,1465274926504678242,Dimiter,Kreis 1,Rathaus,47.3718,8.54541,Entire home/apt,0,1,128,2026-05-12,0.94,145,8,24,
5609431,Cosy und ruhig,5247348,1462676305672465030,Cathy,Kreis 3,Alt-Wiedikon,47.36911,8.5086,Private room,,2,31,2023-08-27,0.23,1,0,0,
